(eemale, ära) ajama	гнать
raamaturiiul	полка (для книг)
rabi	раввин
rada	тропа
radiaator	радиатор
radikaalne	радикальный
radist	радист
ragbi	регби
ragin	треск
rägisema	трещать (доски, лёд)
raha	деньги
rahakott	кошелёк
rahalised vahendid	денежные средства
rahavahetus	обменный пункт
rahe	град
rahet sajab	идёт град
rahhiit	рахит
rähn	дятел
rahu	мир (спокойствие)
rahu (riikide vaheline)	мир
rahuldama	удовлетворять
rahuldav	удовлетворённый
rahuldus	удовлетворённость
rahulik	спокойный
rahulolev	довольный
rahustama	успокаивать
rahustama	успокаивать (унять)
rahvad	народы
rahvas	народ
rahvus	национальность
rahvus	нация
rahvuslik	национальный
rahvusvaheline	международный
raidkuju	статуя
raisakull	гриф
raiuma	рубить (дерево)
rakett	ракета
ralli	ралли
rand	побережье
rändtirts	саранча
rändtsirkus	цирк-шапито
randuma	причаливать
rändur	путешественник
range	строгий
ränk	тяжкий (о преступлении)
ranne	запястье
rannik	берег (моря)
raport	рапорт
raputama	трясти
rase	беременная
raske	трудный
raske	тяжёлый (напр. груз)
raske	тяжёлый (о ранении)
raske (kaalult)	тяжёлый
raske (keeruline)	трудный
raskejõustik	тяжёлая атлетика
raskekaal	тяжелый вес
rasketööstus	тяжелая промышленность
raskeveohobune	тяжеловоз
raskus	трудность
rassism	расизм
rassist	расист
rästas	дрозд
rästik	гадюка
rasvad	жиры
rasvane	жирный (о пище)
ratas	колесо
rätik	платок (головной)
ratsahobune	скаковая лошадь
ratsasport	конный спорт
ratsavõistlused	скачки
ratsu	конь
ratsutaja	наездник
raud	железо
raudne	железный
raudrüü	кольчуга
raudteejaam	вокзал (ж/д)
raund	раунд
ravim	лекарство
ravima	лечить (болезнь)
ravima	лечить (ухаживать)
ravimine	лечение (больных)
reaktsioon	реакция
reamees	рядовой
reanimatsioon	реанимация
rebane	лиса
rebasekutsikas	лисёнок
redel	лестница (переносная)
redis	редис
reede	пятница
reegel	правило
reeglid	правила
reetlikult	вероломно
reetmine	предательство
reform	реформа
regioon	регион
registreerima	зарегистрироваться
registreerima	регистрировать
registreerimine	регистрация
registreerimisele^	стойка регистрации
registreerimistasu	регистрационный взнос
reguleerima	регулировать (прибор)
reguleerimine	регулировка
reha	грабли
rehv	покрышка, шина
Rein	Рейн
reis	путешествие
reis	рейс
reisibüroo	турагентство
reket	ракетка
reket	рэкет
reklaam	реклама
reklaam	реклама (объявление)
reklaamikampaania	рекламная кампания
reklaamikilp	рекламный щит
reklaamima	рекламировать
reklaamiplakat	рекламный плакат
reklaamtahvel	рекламный щит
rekord	рекорд
rekordit püstitama	ставить рекорд
religioon	религия
religioosne	религиозный
relv	оружие
relva käsitlema	обращаться (с оружием)
relvastatud	вооружённый
relvituks tegema	обезоружить
remont	ремонт
remonti tegema	делать ремонт
remontima	ремонтировать
repertuaar	репертуар
reportaaž	репортаж
reporter	репортёр
repro	репродукция
reputatsioon	репутация
reserveerima	резервировать
reserveerima	резервировать (~ стенд)
ressursid	ресурсы
restoran	ресторан
retsept	рецепт
retsept	рецепт (кулинарн.)
reuma	ревматизм
revolutsioon	революция
režiim	режим
ribakardinad	жалюзи
rida	ряд
rida	строка
riff	риф
rihm	ремень (сумки)
riided	одежда
riidehoiunumber	номерок (для пальто)
riidekapp	шкаф (для одежды)
riidest	из ткани
riietehoid	гардероб
riietelaenutus	прокат одежды
riieteparandus	ремонт одежды
riietus	одежда
riigihümn	государственный гимн
riigijuht	руководитель страны
riigikogu	парламент
riigipiir	граница
riigipööre	переворот
riigivapp	национальный герб
riik	государство
riik	страна
riis	рис
riiul	этажерка
riiv	задвижка
riiv	засов
riivima	тереть (на тёрке)
rikas	богатый
rike	неисправность
rikkis	быть сломанным
rind	грудь
rind	грудь (женская)
ring	круг
ring	ринг
ringjoon	окружность
ringliiklus	круговое движение
rinnahoidja	бюстгальтер
rinnakuju	бюст
rinnalaps	грудной ребёнок
rinne	фронт
Rio de Janeiro	Рио-де-Жанейро
ripse	ресница
risk	риск
riskantne	рискованный
riskima	рисковать
rist	крест
risti	трефы
ristiretk	крестовый поход
ristirüütel	крестоносец
ristkülik	прямоугольник
